级别,单词/短语,词性,中文释义,主题分类
L1 启蒙星,boy,n.,男孩,人物
L1 启蒙星,girl,n.,女孩,人物
L1 启蒙星,friend,n.,朋友,人物
L1 启蒙星,people,n.,人们,人物
L1 启蒙星,child,n.,孩子,人物
L1 启蒙星,man,n.,男人,人物
L1 启蒙星,woman,n.,女人,人物
L1 启蒙星,person,n.,人,人物
L1 启蒙星,I,pron.,我,代词
L1 启蒙星,you,pron.,你,代词
L1 启蒙星,he,pron.,他,代词
L1 启蒙星,she,pron.,她,代词
L1 启蒙星,it,pron.,它,代词
L1 启蒙星,we,pron.,我们,代词
L1 启蒙星,they,pron.,他们,代词
L1 启蒙星,my,pron.,我的,代词
L1 启蒙星,your,pron.,你的,代词
L1 启蒙星,this,pron.,这个,代词
L1 启蒙星,that,pron.,那个,代词
L1 启蒙星,what,pron.,什么,代词
L1 启蒙星,every,adj.,每个,代词
L1 启蒙星,some,adj.,一些,代词
L1 启蒙星,any,adj.,任何,代词
L1 启蒙星,many,adj.,许多,代词
L1 启蒙星,much,adj.,很多,代词
L1 启蒙星,all,adj.,全部,代词
L1 启蒙星,other,adj.,其他,代词
L1 启蒙星,another,adj.,另一个,代词
L1 启蒙星,each,adj.,每个,代词
L1 启蒙星,both,adj.,两者,代词
L1 启蒙星,the,art.,这/那,冠词
L1 启蒙星,a,art.,一个,冠词
L1 启蒙星,an,art.,一个,冠词
L1 启蒙星,name,n.,名字,基础词
L1 启蒙星,yes,adv.,是,基础词
L1 启蒙星,no,adv.,不,基础词
L1 启蒙星,not,adv.,不,基础词
L1 启蒙星,color,n.,颜色,基础词
L1 启蒙星,number,n.,数字,基础词
L1 启蒙星,size,n.,大小,基础词
L1 启蒙星,kind,n.,种类,基础词
L1 启蒙星,part,n.,部分,基础词
L1 启蒙星,place,n.,地方,基础词
L1 启蒙星,side,n.,边,基础词
L1 启蒙星,way,n.,路,基础词
L1 启蒙星,world,n.,世界,基础词
L1 启蒙星,country,n.,国家,基础词
L1 启蒙星,city,n.,城市,基础词
L1 启蒙星,road,n.,路,基础词
L1 启蒙星,mom,n.,妈妈,家庭
L1 启蒙星,dad,n.,爸爸,家庭
L1 启蒙星,mother,n.,母亲,家庭
L1 启蒙星,father,n.,父亲,家庭
L1 启蒙星,brother,n.,兄弟,家庭
L1 启蒙星,sister,n.,姐妹,家庭
L1 启蒙星,family,n.,家庭,家庭
L1 启蒙星,daughter,n.,女儿,家庭
L1 启蒙星,son,n.,儿子,家庭
L1 启蒙星,one,num.,一,数字
L1 启蒙星,two,num.,二,数字
L1 启蒙星,three,num.,三,数字
L1 启蒙星,four,num.,四,数字
L1 启蒙星,five,num.,五,数字
L1 启蒙星,six,num.,六,数字
L1 启蒙星,seven,num.,七,数字
L1 启蒙星,eight,num.,八,数字
L1 启蒙星,nine,num.,九,数字
L1 启蒙星,ten,num.,十,数字
L1 启蒙星,eleven,num.,十一,数字
L1 启蒙星,twelve,num.,十二,数字
L1 启蒙星,please,adv.,请,礼貌用语
L1 启蒙星,thank,v.,感谢,礼貌用语
L1 启蒙星,eye,n.,眼睛,身体部位
L1 启蒙星,ear,n.,耳朵,身体部位
L1 启蒙星,nose,n.,鼻子,身体部位
L1 启蒙星,mouth,n.,嘴巴,身体部位
L1 启蒙星,face,n.,脸,身体部位
L1 启蒙星,head,n.,头,身体部位
L1 启蒙星,hand,n.,手,身体部位
L1 启蒙星,arm,n.,手臂,身体部位
L1 启蒙星,foot,n.,脚,身体部位
L1 启蒙星,leg,n.,腿,身体部位
L1 启蒙星,hair,n.,头发,身体部位
L1 启蒙星,body,n.,身体,身体部位
L1 启蒙星,hello,int.,你好,问候
L1 启蒙星,bye,int.,再见,问候
L1 启蒙星,red,adj.,红色,颜色
L1 启蒙星,blue,adj.,蓝色,颜色
L1 启蒙星,green,adj.,绿色,颜色
L1 启蒙星,yellow,adj.,黄色,颜色
L1 启蒙星,black,adj.,黑色,颜色
L1 启蒙星,white,adj.,白色,颜色
L1 启蒙星,brown,adj.,棕色,颜色
L1 启蒙星,orange,adj.,橙色,颜色
L1 启蒙星,pink,adj.,粉色,颜色
L2 探索星,cat,n.,猫,动物
L2 探索星,dog,n.,狗,动物
L2 探索星,fish,n.,鱼,动物
L2 探索星,bird,n.,鸟,动物
L2 探索星,animal,n.,动物,动物
L2 探索星,lion,n.,狮子,动物
L2 探索星,monkey,n.,猴子,动物
L2 探索星,elephant,n.,大象,动物
L2 探索星,rabbit,n.,兔子,动物
L2 探索星,bear,n.,熊,动物
L2 探索星,horse,n.,马,动物
L2 探索星,pig,n.,猪,动物
L2 探索星,chicken,n.,鸡,动物
L2 探索星,duck,n.,鸭子,动物
L2 探索星,cow,n.,奶牛,动物
L2 探索星,sheep,n.,羊,动物
L2 探索星,tiger,n.,老虎,动物
L2 探索星,panda,n.,熊猫,动物
L2 探索星,mouse,n.,老鼠,动物
L2 探索星,square,n.,正方形,形状
L2 探索星,circle,n.,圆形,形状
L2 探索星,triangle,n.,三角形,形状
L2 探索星,apple,n.,苹果,水果
L2 探索星,banana,n.,香蕉,水果
L2 探索星,grape,n.,葡萄,水果
L2 探索星,strawberry,n.,草莓,水果
L2 探索星,watermelon,n.,西瓜,水果
L2 探索星,lemon,n.,柠檬,水果
L2 探索星,pear,n.,梨,水果
L2 探索星,peach,n.,桃子,水果
L2 探索星,tomato,n.,番茄,蔬菜
L2 探索星,potato,n.,土豆,蔬菜
L2 探索星,carrot,n.,胡萝卜,蔬菜
L2 探索星,onion,n.,洋葱,蔬菜
L2 探索星,shirt,n.,衬衫,衣物
L2 探索星,shoes,n.,鞋子,衣物
L2 探索星,hat,n.,帽子,衣物
L2 探索星,dress,n.,裙子,衣物
L2 探索星,coat,n.,外套,衣物
L2 探索星,pocket,n.,口袋,衣物
L2 探索星,water,n.,水,食物饮品
L2 探索星,milk,n.,牛奶,食物饮品
L2 探索星,juice,n.,果汁,食物饮品
L2 探索星,rice,n.,米饭,食物饮品
L2 探索星,bread,n.,面包,食物饮品
L2 探索星,egg,n.,鸡蛋,食物饮品
L2 探索星,food,n.,食物,食物饮品
L2 探索星,meat,n.,肉,食物饮品
L2 探索星,cake,n.,蛋糕,食物饮品
L2 探索星,candy,n.,糖果,食物饮品
L2 探索星,ice cream,n.,冰淇淋,食物饮品
L2 探索星,noodle,n.,面条,食物饮品
L2 探索星,soup,n.,汤,食物饮品
L2 探索星,tea,n.,茶,食物饮品
L2 探索星,coffee,n.,咖啡,食物饮品
L2 探索星,sugar,n.,糖,食物饮品
L2 探索星,salt,n.,盐,食物饮品
L3 进步星,car,n.,汽车,交通
L3 进步星,bus,n.,公交车,交通
L3 进步星,train,n.,火车,交通
L3 进步星,plane,n.,飞机,交通
L3 进步星,boat,n.,船,交通
L3 进步星,bike,n.,自行车,交通
L3 进步星,taxi,n.,出租车,交通
L3 进步星,truck,n.,卡车,交通
L3 进步星,is,v.,是,动词
L3 进步星,am,v.,是,动词
L3 进步星,are,v.,是,动词
L3 进步星,can,v.,能够,动词
L3 进步星,like,v.,喜欢,动词
L3 进步星,want,v.,想要,动词
L3 进步星,have,v.,有,动词
L3 进步星,go,v.,去,动词
L3 进步星,come,v.,来,动词
L3 进步星,eat,v.,吃,动词
L3 进步星,drink,v.,喝,动词
L3 进步星,run,v.,跑,动词
L3 进步星,walk,v.,走,动词
L3 进步星,sit,v.,坐,动词
L3 进步星,stand,v.,站,动词
L3 进步星,open,v.,打开,动词
L3 进步星,close,v.,关闭,动词
L3 进步星,read,v.,读,动词
L3 进步星,write,v.,写,动词
L3 进步星,play,v.,玩,动词
L3 进步星,see,v.,看见,动词
L3 进步星,look,v.,看,动词
L3 进步星,listen,v.,听,动词
L3 进步星,say,v.,说,动词
L3 进步星,make,v.,制作,动词
L3 进步星,give,v.,给,动词
L3 进步星,take,v.,拿,动词
L3 进步星,put,v.,放,动词
L3 进步星,help,v.,帮助,动词
L3 进步星,love,v.,爱,动词
L3 进步星,know,v.,知道,动词
L3 进步星,think,v.,想,动词
