序号,分类,英文指令,中文释义,适用级别,产品用途
1,身体动作,Stand up.,站起来,L1,TPR入门指令
2,身体动作,Sit down.,坐下,L1,TPR入门指令
3,身体动作,Turn around.,转个圈,L1,TPR入门指令
4,身体动作,Jump up.,跳起来,L1,TPR入门指令
5,身体动作,Clap your hands.,拍手,L1,TPR入门指令
6,身体动作,Touch your nose.,摸你的鼻子,L1,身体部位认知
7,身体动作,Touch your head.,摸你的头,L1,身体部位认知
8,身体动作,Touch your toes.,摸你的脚趾,L1,身体部位认知
9,身体动作,Touch your shoulders.,摸你的肩膀,L1,身体部位认知
10,身体动作,Wave your hand.,挥手,L1,TPR入门指令
11,身体动作,Stomp your feet.,跺脚,L1,TPR入门指令
12,身体动作,Bend your knees.,弯膝盖,L1,TPR入门指令
13,身体动作,Stretch your arms.,伸展手臂,L1,TPR入门指令
14,身体动作,Close your eyes.,闭上眼睛,L1,面部动作
15,身体动作,Open your eyes.,睁开眼睛,L1,面部动作
16,身体动作,Shake your body.,抖抖身体,L1,TPR入门指令
17,身体动作,Cross your arms.,交叉手臂,L1,TPR入门指令
18,身体动作,Lie down.,躺下,L1,TPR入门指令
19,身体动作,Stand on one leg.,单脚站立,L1,TPR入门指令
20,身体动作,Raise your hand.,举手,L1,课堂指令
21,物品操作,Pick up the book.,捡起书本,L1,物品认知
22,物品操作,Put down the pencil.,放下铅笔,L1,物品认知
23,物品操作,Open the door.,开门,L1,日常动作
24,物品操作,Close the window.,关窗户,L1,日常动作
25,物品操作,Turn off the light.,关灯,L1,日常动作
26,物品操作,Turn on the fan.,打开电风扇,L1,日常动作
27,物品操作,Hold the ball.,拿住球,L1,物品认知
28,物品操作,Push the chair.,推椅子,L1,物品认知
29,物品操作,Pull the drawer.,拉抽屉,L1,物品认知
30,物品操作,Fold the paper.,折纸,L2,手工活动
31,物品操作,Cut the paper.,剪纸,L2,手工活动
32,物品操作,Write your name.,写下你的名字,L2,课堂指令
33,物品操作,Draw a cat.,画一只猫,L2,课堂指令
34,物品操作,Erase the board.,擦黑板,L2,课堂指令
35,物品操作,Open your bag.,打开你的书包,L1,日常动作
36,物品操作,Take out your book.,拿出你的书,L1,课堂指令
37,物品操作,Put on your hat.,戴上帽子,L1,衣物相关
38,物品操作,Take off your shoes.,脱下鞋子,L1,衣物相关
39,物品操作,Point to the clock.,指向时钟,L1,课堂指令
40,物品操作,Drop the paper.,丢下纸张,L1,物品认知
41,课堂指令,Listen carefully.,仔细听,L1,课堂管理
42,课堂指令,Repeat after me.,跟我重复,L1,跟读练习
43,课堂指令,Answer the question.,回答问题,L2,课堂互动
44,课堂指令,Look at the board.,看黑板,L1,课堂管理
45,课堂指令,Don't talk.,不要说话,L1,课堂管理
46,课堂指令,Come here.,过来,L1,课堂管理
47,课堂指令,Go back to your seat.,回到座位,L1,课堂管理
48,课堂指令,Work in pairs.,两人一组,L2,课堂活动
49,课堂指令,Work in groups.,小组合作,L2,课堂活动
50,课堂指令,Line up.,排队,L1,课堂管理
51,课堂指令,Pass the paper.,传递纸张,L1,课堂活动
52,课堂指令,Open your book.,打开书本,L1,课堂指令
